Presentation title,Industry (where is AI used?) (multi-select possible),AI use (how is AI used?) (multi-select possible),Fairness issue (multi-select possible),Orientation (multi-select not possible)
Fairness in Tik Tok's Recommender Algorithm,"""Social media, sports, entertainment, & platforms""",Recommendation systems,Balancing between different concepts of fairness,Negative (AI detracts from fairness)
"clearview AI, NYPD Misuse of Facial Recognition","""Government, infrastructure management, social welfare""",,Privacy & surveillance concerns,
YouTube Recommendation Algorithm: Fairness Implications,"""Social media, sports, entertainment, & platforms""",Recommendation systems,Disparate impact across social groups,
Proctorio exam proctoring,Education & academia,,,
Computer-aided detection (CAD) software for tuberculosis screening in South Africa,Healthcare & diagnostics,,,
Google's Gemma Downplaying Women's Health Issues,Healthcare & diagnostics,,,
Uber Driver Fraud Detection and Auto Deactive,"""Social media, sports, entertainment, & platforms""",,,
AI in EU Asylum Procedures,"""Government, infrastructure management, social welfare""",,,
Algorithmic Rent Pricing,Housing,,,
AI based workplace management at Amazon,"""Internal business operations, workplace & labor dynamics""",,,
reCAPTCHA v3,?/NA (presentation doesn't talk about specific industry),,,
AI Face-Swap Apps & Consent Transparency,"""Social media, sports, entertainment, & platforms""",,,
AI in Tennis: Hawk-Eye,"""Social media, sports, entertainment, & platforms""",,,
UC Berkeley BearGPT,"""Internal business operations, workplace & labor dynamics""",LLM & chatbots,,
AI Singapore and SEALION: LLMs in low resource Southeast Asian languages,Cultural representation,,,
Resurrecting the Dead: AI Consent Implications,"""Social media, sports, entertainment, & platforms""",,,
AI Bias in Power Systems Domain,"""Government, infrastructure management, social welfare""",,,
Auditing the audits': takeaways from analyzing NYC's Local Law 144 bias audits,"""Government, infrastructure management, social welfare""",,,
Biases found in Synthetic or Pseudo Data and Data Feedback Loops,Education & academia,,,
Claude Interviewer Tool for Research,Education & academia,,,
Age and Race Biases in Autonomous Driving Systems,?/NA (presentation doesn't talk about specific industry),"Classification tasks (speech/voice/age recognition), Embodied systems (autonomous driving)",,
Turnitin AI Detection,Education & academia,Natural Language Processing,,
